filename,class,confidence,x_center,y_center,depth_m,euclidean_m,ground_distance_m,grid_row,grid_col
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.701901197,0.98125,0.515625,2.985,3.058,3.058,1,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.778742492,0.935416667,0.44140625,3.618,3.693,3.69,2,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.759449422,0.876041667,0.3890625,4.135,4.206,4.196,3,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.696720183,0.838541667,0.3421875,4.874,4.955,4.931,4,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.79619348,0.665625,0.51953125,3.294,3.302,3.302,1,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.775461972,0.648958333,0.446875,3.761,3.77,3.768,2,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.72408092,0.630208333,0.3921875,4.443,4.46,4.449,3,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.743685246,0.622916667,0.3484375,5.081,5.111,5.088,4,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.650063276,0.38125,0.34921875,5.366,5.402,5.377,4,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.721105158,0.380208333,0.3921875,4.874,4.895,4.884,3,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.752680004,0.369791667,0.4453125,4.208,4.221,4.218,2,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.744170487,0.344791667,0.52265625,3.512,3.524,3.523,1,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.729751587,0.171875,0.3515625,5.824,5.928,5.902,4,1
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.714735508,0.140625,0.39375,5.001,5.091,5.08,3,1
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.803295612,0.915625,0.55859375,3.867,3.939,3.937,1,4
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.71172291,0.864583333,0.4921875,4.506,4.568,4.568,2,4
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.738573015,0.819791667,0.440625,5.366,5.426,5.422,3,4
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.670955837,0.634375,0.5640625,4.245,4.256,4.252,1,3
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.729605317,0.620833333,0.49765625,4.8,4.806,4.806,2,3
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.705191791,0.60625,0.44453125,5.554,5.562,5.559,3,3
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.713778079,0.386458333,0.496875,5.366,5.376,5.376,2,2
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.781326711,0.367708333,0.5703125,4.283,4.298,4.294,1,2
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.777112663,0.159375,0.49921875,5.427,5.505,5.505,2,1
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,0,0.81291759,0.959375,0.69765625,3.249,3.345,3.321,2,4
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,0,0.771393716,0.894791667,0.6078125,3.915,3.987,3.978,3,4
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,0,0.782049358,0.855208333,0.53203125,4.705,4.768,4.767,4,4
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,0,0.810061395,0.683333333,0.825,2.966,3.038,2.976,1,3
