               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10358,            0.042242,                   0,              0.2552,             0.45705,             0.21407,            0.071077,            0.085444,            0.026249,                   0,              0.0706,           0.0032667,           0.0032667
                   1,             0.07502,            0.029884,                   0,             0.24201,             0.79795,             0.23018,            0.065477,            0.073397,            0.020458,                   0,            0.040535,           0.0065347,           0.0065347
                   2,            0.071722,            0.025605,                   0,             0.65698,             0.77071,             0.74215,             0.31067,            0.059757,            0.016969,                   0,            0.010403,           0.0097367,           0.0097367
                   3,            0.063615,             0.02372,                   0,             0.66559,             0.79623,             0.77804,             0.42767,            0.053863,            0.016154,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.054214,            0.022777,                   0,             0.78421,             0.79623,             0.86834,             0.29146,              0.0446,            0.016053,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.047586,            0.020961,                   0,             0.94981,              0.8887,             0.93853,              0.4107,            0.036139,             0.01379,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042815,             0.01997,                   0,               0.765,             0.86301,             0.85352,             0.46897,             0.03637,             0.01312,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040583,            0.018722,                   0,             0.94284,             0.93214,             0.95108,             0.45181,            0.034911,            0.013373,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038126,            0.018449,                   0,             0.96161,             0.94358,             0.96238,             0.58485,            0.034355,            0.012672,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036188,            0.018627,                   0,             0.97926,             0.97024,              0.9791,             0.66988,            0.026297,            0.011821,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.034385,            0.018161,                   0,             0.97758,             0.97945,             0.98019,             0.64663,            0.024419,            0.011194,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033059,            0.017648,                   0,             0.93429,             0.94863,             0.96554,             0.65344,            0.026773,            0.011275,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032498,            0.017156,                   0,             0.98108,             0.97676,             0.97999,             0.66643,            0.027978,            0.011692,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.02998,            0.016935,                   0,              0.9879,             0.97823,             0.98188,             0.72985,            0.024819,            0.011177,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.029845,            0.016236,                   0,             0.97614,             0.98094,             0.98476,             0.73367,            0.022337,            0.010375,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.028141,            0.016837,                   0,             0.90677,             0.97432,             0.96974,             0.71132,            0.024617,            0.010488,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.027932,            0.015925,                   0,             0.98034,             0.98288,             0.98169,              0.7867,            0.018997,           0.0096008,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.028409,            0.016223,                   0,             0.98337,             0.97945,             0.98739,             0.77392,            0.018879,           0.0097196,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.028225,            0.015455,                   0,             0.98112,              0.9789,             0.98261,             0.79351,            0.017962,           0.0094741,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.026652,            0.014891,                   0,             0.98852,             0.97945,             0.98384,             0.74736,            0.019683,           0.0094723,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.02641,            0.014897,                   0,             0.98488,             0.97774,             0.98624,             0.78203,            0.018109,           0.0093123,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.025554,            0.015532,                   0,             0.97763,             0.97291,             0.98451,             0.80727,            0.017944,           0.0093073,                   0,             0.00802,             0.00802,             0.00802
